pdb_id,Group,training,p1p1x,p2p2x,r3r3x,h_cgvc,ang_NHs,ang_CHs,dist_NH,dist_CH
4BB4_A,cidi,1.0,0.936072647,0.9709369929999999,0.9746560790000001,0.94471777,40.93074942,22.87692262,7.531241417,7.351230621
4CLI_A,cidi,1.0,0.9760921640000001,0.995487133,0.9338514109999999,0.989506523,33.97717736,42.99541913,6.32638073,8.695364952
4FV7_A,cidi,1.0,0.9854891790000001,0.992103451,0.9884450159999999,0.9918430659999999,32.29061946,20.87984475,7.680086136,7.641268253
4G6L_A,cidi,1.0,0.909737748,0.8951468659999999,0.9023297490000001,0.992285657,28.66907976,23.4502758,7.561849117,9.396727562
4IWD_A,cidi,1.0,0.906672337,0.997474779,0.9756005609999999,0.983466125,35.42546051,45.31080159,6.08462429,7.989510059
4JBO_A,cidi,1.0,0.999597079,0.99732953,0.99712546,0.927024665,36.92011994,13.01353485,9.749027252000001,7.703858376
4JS8_A,cidi,1.0,0.8999997120000001,0.7470631440000001,0.885905394,0.930104637,50.13011043,24.19429773,8.789888382000001,7.627810001
4KKE_A,cidi,1.0,0.888308465,0.61592137,0.947953972,0.9044511209999999,53.60412626,32.54570476,9.496906281000001,6.903086662000001
4L43_A,cidi,1.0,0.93243978,0.9769349079999999,0.9996666359999999,0.990822268,31.83413006,18.45622413,7.711472034,8.206707954
4MNE_B,cidi,1.0,0.9942944990000001,0.9973937690000001,0.994753074,0.991526582,32.63724854,19.96273688,7.628980637000001,9.161402702
4RRV_A,cidi,1.0,0.996838905,0.988873661,0.9971770990000001,0.96584032,29.41448667,28.24078328,7.161559105,7.414607525
4WNO_A,cidi,1.0,0.97158701,0.986802304,0.99509759,0.909986333,39.17223712,14.38638536,7.0822968479999995,7.290670395
5AIR_A,cidi,1.0,0.9367352659999999,0.9885457670000001,0.984645558,0.986349038,40.68705267,23.72755902,7.225605965,8.948571205
5AV1_A,cidi,1.0,0.992553859,0.9984526640000001,0.9967547240000001,0.989601664,35.60815622,20.763647,7.682007313,8.80786705
5EYK_A,cidi,1.0,0.9923800009999999,0.993356355,0.97556307,0.9199125229999999,57.761879799999996,17.24047017,10.46654797,8.351932526
1UWH_A,cido,1.0,-0.91980725,-0.9254316659999999,-0.920171711,0.987718848,29.56893923,25.747133399999996,7.088084221,9.34426403
2BAJ_A,cido,1.0,-0.72988729,-0.7363378159999999,-0.659920183,0.9905453040000001,29.82955474,29.24155402,7.1061673160000005,9.658080101
2HZ0_A,cido,1.0,-0.757761235,-0.712922945,-0.679693872,0.9662026859999999,36.873829,15.70313364,6.857692719,10.02543831
2OFV_A,cido,1.0,-0.667512268,-0.7889810140000001,-0.576595667,0.9122095859999999,44.85421442,22.74078814,7.050630093,9.949567795
